code	name_en
574	AIOE VERA EXTRACT SERUM 2ML
575	CUCUMER EXTRACT SERUM 2 ML
576	MULTI FRUIT EXTRACT SERUM 2 ML
577	SAGE SPECIAL EXTRACT SERUM 2 ML
578	COMOMILE EXTRACT SERUM 2 ML
579	WITCH HAZEL EXTRACT SERUM 2 ML
580	VITAMIN A SERUM 2ML
581	VITAMIN C SERUM 2ML
582	VITAMIN E SERUM 2ML
583	ANTI AGING SERUM FLUID 2ML
584	SKIN LIGHTING SERUM FLUID 2ML
585	ANTI AGING SERUM FLUID 2ML
586	INSTANT LIFE SERUM FLUID 2ML
587	REVITALIZING SERUM FLUID 2ML
588	PRO MOISTURIZING SERUM FLUID 2ML
589	GREY LOTION 200GM
590	GREY CREAM 200GM
591	GUAVA GLOW SCRUB 200GM
593	HEXAGONAL CLEANSER 200GM
594	LUSTER KIVI SCRUB 200GM
595	SMOOTING TONER 200ML
597	FACIAL WASH 200 ML
598	CLAY HYDROXY 200GM
599	ASTRINGENT 200ML
600	SKIN GLOSS 200ML
601	REFINING ENZYMATIC MASK 200GM
602	PEELING CREAM 200GM
603	FACIAL BLOND BRIGHTNER 200GM
604	FACIAL BLOND ACTIVATOR 200ML
605	COOLING CUCMBER CLEANSER 200GM
606	WITCH HAZEL MASSAGE 200GM
607	MULTI VITAMIN CREAM 200GM
608	INSTANT CUTICLE RMVR MANI ND PEDI 200ML
609	EXTRA VIRGIN WAX ORANGE 300GM
610	EXTRA VIRGIN WAX LEVANDER 300GM
611	HYDRATING DIAMOND MASK 30GM
612	HYDRATING GOLD MASK 30GM
613	PHYTOMER WHITENING MASK 30GM
614	VITAMIN C MASK 30GM
615	TEA TREE OIL 1ML
616	CARROT OIL 1ML
617	ORANGE OIL 1ML
618	GREY CREAM 500GM
619	GREY LOTION 500GM
620	HEXAGONAL CLEANSER 500GM
621	MICRO CRYSTAL SERUB 500GM
622	HEXAGONAL CLEANSER 500GM
623	LUSTER KIVI SCRUB 500GM
624	SMOOTING TONER 500ML
625	FACIAL WASH 500ML
626	CLAY HYDROXY 500GM
627	ASTRINGENT 500ML
628	LIPOSOLUBLE DEPILATORY WAX LEMON 400GM
629	LIPOSOLUBLE DEPILATORY WAX APPLE 400GM
630	POST EPILATION LOTION 200GM
631	LIPOSOLUBLE DEPILATORY WAX CHARCOAL 400
632	LIPOSOLUBLE DEPILATORY WAX CHARCOAL 200
633	LIPOSOLUBLE DEPILATORY WAX LEMON 200GM
634	LIPOSOLUBLE DEPILATORY WAX APPLE 200GM
635	SKIN GLOSS 500ML
636	REFINING ENZYMATIC MASK 500GM
637	FACIAL BLOND BRIGHTNER 500GM
638	FACIAL BLOND ACTIVATOR 500ML
639	COOLING CUCMBER CLEANSER 500GM
640	WITCH HAZEL MASSAGE 500GM
641	MULTI VITAMIN CREAM 500GM
642	PEDICURE RELAXING SOAK 200ML STEP 1
643	PEDICURE SOOTING SCRUB 200ML STEP 2
644	PEDICURE FOOT MASQUE 200ML STEP 3
645	PEDICURE HEALING LOTION 200ML STEP 4
646	PEDICURE CRITICAL CREAM 200ML STEP 5
647	PEDICURE COOLING GEL 200ML STEP 6
648	MANICURE PURIFYING SOAK 200ML STEP 1
649	MANICURE POLISHING SCRUB 200ML
650	MANICURE SOOTING MASQUE 200ML STEP 3
651	MANICURE HYDRATING LOTION 200ML STEP 4
869	GUAVA GLOW SCRUB 500GM
