code	name_en
1035	GW FACE WASH 120 ML
1036	GW WHITE SCRUB 200 ML
1037	GW FACE WASH RICE 120 ML
1038	GW FACE WASH ANTI ACNE 120 ML
1039	GW SERUM WHITEING 30 ML
1040	GW SERUM ACNI 30 ML
1041	GW DEEP CLEANSER 200ML
1042	GW SUNBLOCK 120ML
1043	GW SKIN POLISH SET
1044	GW NIGHT CREAM TUBE
1045	GW LOTION OIL FREE 100ML
1046	GW HAND&FOOT CREAM
1047	GW SERUM RICE 30 ML
1048	GW SERUM VITAMIN C 30 ML
1049	GW FACE WASH VITAMIN C 120 ML
1050	GW WHITING CREAM
1062	GW DAY ND NIGHT CREAM JAR
1069	GW WHITING FACIAL KIT
1081	GW WHITE SOAP
1082	GW BLEACH CREAM SACHET
