code	name_en
14	MACKUP REMOVER 125ML
15	GP FLAWLESS FACE WASH 75ML
16	GP FACIAL CLEANSER PUMP 150ML
17	GP TONER PUMP 150ML
18	GP BLACK HEAD REMOVING MASK 30ML
19	GP GLO BOSTING WHITENING SERUM 3ML
20	GP FLAWLESS SERUM 3ML
21	GP ANTI AGING SERUM 3ML
22	GP FLAWLESS CREAM 25GM
23	GP GLOW BOOSTING CREAM 50GM
24	GP BLEACH POWDER 30GM
25	GP BLEACH POWDER 60GM
26	GP BLEACH POWDER 200GM
27	GP BLEACH POWDER 400GM
28	GP VOL 20 60ML
29	GP VOL 20 120ML
30	GP VOL 20 500ML
31	GP VOL 20 1000ML
32	GP SOOING LOTION 60ML
33	GP SOOING LOTION 120ML
34	GP SOOING LOTION 500ML
35	GP SOOING LOTION 1000ML
36	GP SKIN SHINER 60ML
37	GP SKIN SHINER 120ML
38	GP SKIN SHINER 500ML
39	GP SKIN SHINER 1000ML
40	GP WHITENING FACIAL KIT 11 ITEM
41	GP FLAWLESS BEAUTY KIT 3 ITEM
42	GP SKIN POLISH SACHET KIT 7 ITEM
43	GP URGENT FACIAL SACHET NEW RATE 25ML
44	GP URGENT FRUIT FACIAL SACHET NEW RATE 25ML
45	GP URGENT FACIAL TUBE 75ML
46	GP URGENT FRUIT FACIAL TUBE 75ML
47	GP DOUBLE ACTION 75 GM
48	GP SCRUB JAR 75GM GREEN
49	GP SCRUB JAR 75GM PINK
50	GP MUD GLOW MASK 75GM
51	GP CLAY MASK JAR 75GM
52	GP MASSAGE CREAM 75GM PINK
53	GP MASSAGE CREAM 75GM YELLOW
54	GP SKIN POLISH JAR 75GM
55	GP DOUBLE ACTION 300 GM
56	GP SCRUB JAR 300GM GREEN
57	GP SCRUB JAR 300GM PINK
58	GP MUD MASK 300GM
59	GP CLAY MASK JAR 300GM
60	GP SKIN POLISH JAR 300GM
61	GP MASSAGE CREAM 300GM PINK
62	GP MASSAGE CREAM 300GM YELLOW
63	GP COLD JAR 75 ML
64	GP COLD JAR 200ML
65	GP 24K SERUM 20ML
66	GP 24K SERUM 10ML
67	GP 4X SERUM 20ML
68	GP 4X SERUM 10ML
69	GP 3D SERUM 30ML NEW GLASS SERUM
70	GP 3D SERUM 10ML NEW GLASS BOTEL
94	GP NEW FACE POLISHING KIT 4PIC
100	GP SOFT MASK SACHET
112	GP COLD JAR 75ML NEW RATE
113	GP COLD JAR 200ML NEW RATE
122	GP FLAWLESS FACE WASH 150ML
138	ACNO CLEAR FACE WASH 75 ML
139	ACNO CLEAR FACE WASH 150 ML
141	GP AIOE VERA GEL 75ML TUBE
142	GP AIOE VERA GEL 150 ML JAR
143	GP 24K GOLD CREAM BLEACH SACHET
156	GP 24K SERUM NEW GLASS BOTEL 10 ML
157	GP 4X GLUTATHIONE SERURM NEW 10 ML GLASS
158	GP V.C SERUM NEW 10 ML GLASS BOTTEL
159	GP 24K SERUM NEW GLASS BOTEL 30 ML
160	GP V.C SERUM NEW 30 ML GLASS BOTTEL
161	GP 4X GLUTATHIONE SERURM NEW 30 ML GLASS
162	GP DOUBLE ACTION 250 GM
163	GP SCRUB BERRIES GLOW RED 250 GM
164	GP SCRUB APPLE GLOW 250 GM
165	GP GLOW MUD MASK 250GM
166	GP CLAY PURIFYING MASK 250 GM
167	GP MASSAGE MULTI MINRAL CREAM 250 GM
168	GP MASSAGE MULTIVITAMIN CREAM 250GM
169	GP SKIN POLISH RADIANT GLOW 250GM
176	GP SKIN TONER NEW 150 ML
177	GP MICELLAR CLEANSING WATER 150 ML
178	GP CLEANSING MIL 150ML
