code	name_en
1	HELLO HAIR SHAMPOO 360 ML OLD RATE
2	HELLO HAIR SHAMPOO 75 ML
3	HELLO HAIR SHAMPOO (SACHET) 5 ML
4	SET & TOUCH SHAMPOO 360 ML
5	SET & TOUCH SHAMPOO 185 ML
6	SET & TOUCH SHAMPOO 75 ML
7	SET & TOUCH SHAMPOO (SACHET) 5 ML
8	HELLO HAIR SHAMPOO 180 ML OLD RATES
9	HAIR OFF HAIR REMOVER (SACHET) 20 ML
10	HAIR OFF HAIR REMOVER TUBE 50 GM
11	HAIR OFF HAIR REMOVER TUBE 100 GM
12	HAIR OFF HAIR REMOVER JAR 80 ML
13	HAIR OFF HAIR REMOVER JAR 120 ML
96	GP HAIR OIL 200ML
126	1 NO HELLO HAIR COLOR CREAM NATURAL BLACK
127	4 NO HELLO HAIR COLOUR CREAM MEDIAM BROWN
128	5 NO HELLO HAIR COLOUR CREAM LIGHT BROWN
129	3 NO HELLO HAIR COLOR CREAM DARK BROWN
130	3.6 NO HELLO HAIR COLOR CREAM MAHOGANY
132	4.3 NO HELLO HAIR COLOR CREAM MEDIAM GOLD
133	5.1 NO HELLO HAIR COLOUR CREAM ASH BROWN
134	6.3 NO HELLO HAIR COLOR CREAM LIGHT GOLDEN
135	7 NO HELLO HAIR COLOR CREAM ASH BLOND
136	9.3 NO HELLO HAIR COLOR CREAM ULTRA GOLD
137	HELLO HAIR SHAMPOO 640ml
144	GP ALMOND OIL 200 ML
145	GP ALMOND OIL 100 ML
146	GP GARLIC HAIR OIL 200 ML
147	GP GARLIC HAIR OIL 100 ML
148	GP ONION HAIR OIL 200 ML
149	GP ONION HAIR OIL 100 ML
150	GP COCONUT HAIR OIL 200 ML
151	GP COCONUT HAIR OIL 100 ML
152	GP NATURAL HAIR OIL 200 ML
153	GP NATURAL HAIR OIL 100 ML
154	GP ARGAN HAIR OIL 200 ML
155	GP ARGAN HAIR OIL 100 ML
193	HELLO HAIR SHAMPOO 180 ML NEW RATE
194	HELLO HAIR SHAMPOO 360 ML NEW RATES
