code	name_en
1067	HANKIES VIRSA TISSUE RS 350
1128	HANKIES COMPACTA TISSUE RS 110
1129	HANKIES HIPHOP RS 150
1130	HANKIES HOPUP MINI RS 150
1131	HANKIES GOLD TISSUE RS 180
1132	HANKIES HOPUP BLACK BOX TISSUE RS 250
1133	HANKIES GARDEN TISSUE RS 300
1134	HANKIES FLORA TISSUE RS 200
1135	HANKIES SOFTIES 3+1 RS 825
1136	HANKIES SOFTIES RS 275
1137	HANKIES PREMIUM SOFT RS 440
1138	HANKIES PREMIUM PERFUME NEW RS 480
1139	HANKIES PREMIUM PERFUME RS 460
1140	HANKIES HOTPOT PARTY PACK RS 300
1141	HANKIES MAGIC ROLL RS 130
1142	HANKIES KITCHEN JUMBO ROLL RS 600
1143	HANKIES KITCHEN SUPER ROLL RS 320
1144	HANKIES POCKET TISSUE 24 PCS RS 480
1145	HANKIES MAXI KITCHEN TOWEL RS 1300
1146	HANKIES FREEDOM XXL 16 PCS RS 480
