sector	code	name
Chowk Azam	1200	786 G/S FSD ROAD CHK AZM
Chowk Azam	1174	786 G/S MAIN BAZAR LAYYAH ROAD CHOWK AZAM
Chowk Azam	1166	786 K/S LAYYAH ROAD CHOWK AZAM
Chowk Azam	1277	A ONE G/S MAIN BAZAR CHOK AZAM
Chowk Azam	1644	A Z S/S OLD THE BEST AWAIS
Chowk Azam	1167	ADNAN K/S LAYYAH ROAD CHOWK AZAM
Chowk Azam	1532	AHMAD GARMENTS FATHY PUR
Chowk Azam	1352	AHSAN CLOTH HOUSE F.S.D CHOKE AZAM
Chowk Azam	1201	AL BARVI G/S FSD ROAD CHK AZM
Chowk Azam	1165	AL FREED BAKERS LAYYAH ROAD
Chowk Azam	1173	AL IMRAN SWEETS LAYYAH ROAD CHOWK AZAM
Chowk Azam	1170	AL KAUSAR G/S LAYYAH ROAD CHOWK AZAM
Chowk Azam	1234	AL KHALIL G/S 5TH MILL CA
Chowk Azam	1596	AL MAKKAH OPITICAL SMA SY AGY
Chowk Azam	1330	AL QADIR S/S LALA ZAR
Chowk Azam	1504	AL RAFFAY COSMATICES
Chowk Azam	1287	AL SANA S/C FSD ROAD
Chowk Azam	1485	AL SHAKOOR SUPER MART LALA ZAR
Chowk Azam	1404	AL WASAY PHARMECY
Chowk Azam	1214	ALI GARMENTS GALI IMAM BARGAH
Chowk Azam	1389	ALI MOLA G.S GLI IMAM BARGHA
Chowk Azam	1487	AWAIS GS GALI IMAM BARGHAH
Chowk Azam	1175	AWAN G/S MAIN BAZAR CHOWK AZAM
Chowk Azam	1211	CHAHAT ZARI STORE GALI IMAM BARGAH
Chowk Azam	1303	FAISAL BAKERS&S/S F.S.D
Chowk Azam	1337	FAISAL G/S NEAR JUNAID CHOKE AZAM
Chowk Azam	1426	FARHAN SHOPING CENTER CHOKE AZAM
Chowk Azam	1192	FRIENDS SHOPING CENTER MAIN BAZAR CHOWK AZAM
Chowk Azam	1193	HABIB KHAN G/S MAIN BAZAR CHOWK AZAM
Chowk Azam	1187	HAMZA AWAMI G/S MAIN BAZAR CHOWK AZAM
Chowk Azam	1179	HAMZA SARFRAZ G/S MAIN BAZAR CHOWK AZAM
Chowk Azam	1237	HUMZA G/S GLI IMAM BARGAH CHK AZAM
Chowk Azam	1236	HUMZA KHURSHED G/S MAIN BAZAR CHOWK AZAM
Chowk Azam	1217	HURMAIN G/S GALI IMAM BARGAH
Chowk Azam	1366	INAM D/S NEAR BALOCH TERMINAL LAYYAH
Chowk Azam	1342	IRFAN K/S FATEH POOR ROAD
Chowk Azam	1178	JANI KHAN SHOES MAIN BAZAR CHOWK AZAM
Chowk Azam	1266	JUNAID SHOPING CENTER MAIN BAZAR CHOK AZAM
Chowk Azam	1177	KHALID G/S MAIN BAZAR CHOWK AZAM
Chowk Azam	1207	KHALIL G/S FSD ROAD CHK AZM
Chowk Azam	1206	KHWAJA G/S FSD ROAD CHK AZM
Chowk Azam	1265	LASANI J/S CHOUBRA
Chowk Azam	1322	LUCKY G/S BARKAT PLAZA
Chowk Azam	1530	LUCKY MART BHAGHAL ADDA
Chowk Azam	1475	M H JEWLERS NEAR THE BEST KHAWAR
Chowk Azam	1311	MADINA M/S CHOKE AZAM
Chowk Azam	1598	MALIK GHULAM MUHAMMAD K/S CHOWK AZAM
Chowk Azam	1313	MALIK IRFAN K/S FTEHPOOR ROAD
Chowk Azam	1325	MAQBOOL G/S GLI IMAM BARGHA
Chowk Azam	1521	MASHAALLAH G.S & H/S HAIDER MARKEET CHOKEAZAM
Chowk Azam	1190	MASROOR BUSINESS SHOP YOUSF PLAZA CHOWK AZAM
Chowk Azam	1349	MOAZ COSMETICS STORE BARKAT PALAZA
Chowk Azam	1208	MOON TRADERS FSD ROAD CHK AZM
