code	name_en
677	Whitening Bleach Cream Jumbo Pack 500 gm
678	Whitening Bleach Cream salon pack 115 G
679	Whitening Bleach Cream Economy pack 70 Gm
680	Whitening Bleach Cream standard pack 42 Gm
681	Whitening Bleach Cream Trial pack 25 Gm
682	Whitening Bleach Cream Mini pack 16 Gm
683	Whitening Bleach Cream sachet 10 Gm RS40
684	Peach Bleach Cream Giant 1000 Gm
685	Peach Bleach Cream Jumbo 500 gm
686	Peach Bleach Cream Salon 115 Gm
687	Peach Bleach Cream Eco 70 Gm
688	Peach Bleach Cream Std 42 Gm
689	Peach Bleach Cream Trial 25 Gm
690	Peach Bleach Cream Mini 16 GM
691	Peach Bleach Cream Schet Rs 40
692	Herbal Bleach Cream Jumbo 500 Gm
693	Herbal Bleach Cream Salon 115 Gm
694	Herbal Bleach Cream Eco 70 Gm
695	Herbal Bleach Cream Schet 10 Gm
696	Strong Bleach Powder 60 Gm
697	Strong Bleach Powder 500 Gm
698	Bleach Powder Mild 500 GM
699	Bleach Powder Mild 60 Gm
700	Whitening Powder 500 Gm
701	Whitening Powder 300 Gm
702	Whitening Powder 75 Gm
703	Booster 5 Ltr
704	Booster 500 Ml
705	Booster 120 ML
706	OXd vol 20 5 Ltr
707	OXd vol 20 500 Ml
708	OXd vol 20 120 Ml
709	OXd vol 20 60 Ml
710	Whitening Facial Trial Kit 7 Pcs
711	Face Polish Trial Kit 7 Pcs
712	Face Polishing Trial Kit 9 Schet
713	Mani & Padicure Trial Kit 5 Pcs
714	Mani & Padicure Massage Cream 500 Gm
715	Salt Free Shampoo 5 Ltr
716	Salt Free Shampoo 500 Ml
717	Apple Hair Conditioner 500 Ml
718	Cleansing Milk 5 Ltr
719	Cleansing Milk 500 Ml
720	Cleansing Milk 250 Ml
721	Cleansing Milk 120 Ml
722	Cucumber Cleansing Milk 250 Ml
723	Double Action Cleanser 500 GM
724	Double Action Cleanser 300 GM
725	Double Action Cleanser 75 GM
726	Tripple Action Cleanser 75 Gm
727	Multi Action Cleanser 300 GM
728	Massage Cream (Herbal) 500 GM
729	Massage Cream (Herbal) 75 GM
730	Massage Cream Fruit Splash 75 GM
731	Soothing Lotion 5 Ltr
732	Soothing Lotion 500 Ml
733	Soothing Lotion 120 Ml
734	Scrub Cream 75 GM
735	Facial Scrub Tube 250 Ml
736	Vitamin E Cream 500 GM
738	Mud Mask 500 Gm
739	Mud Mask 400 GM
740	Mud Mask 100 GM
741	MUD MASK 75 GM
742	Mud Mask 10 GM Sachet pack
743	Fruit Mask 500 GM
744	Fruit Mask 75 GM
745	Mineral Mask 500 GM
746	Mineral Mask 75 GM
747	Vegetable Mask 75 GM
748	Skin Shiner 5 Ltr
749	Skin Shiner 500 Ml
750	Skin Shiner 120 Ml
751	Skin Tonic 120 Ml
752	Skin Tonic 500 Ml
753	Face glow 5 Step
754	Instant Fairness Sachet Kit 5 Step
755	Whitening Soap 115 GM
756	Acne Soap with active Tea Tree Oil 115 GM
757	Nail Enamel Remover 500 Ml
758	Nail Enamel Remover 60 Ml
759	Nail Enamel Remover 120 Ml
760	Baby Gift Box Large 8 Items
761	Baby Gift Box Mediem 5 Items
762	Baby Gift Box Small 4 Items
764	Baby Lotion 120 Ml
765	Baby Oil 120 Ml
766	Baby Powder 120 GM
767	Baby Shampoo Premium 120ml
768	Baby Soap 75 GM
769	Baby BATH 120 ML
770	Wax Herbal Bucket 1.5 kg
771	Wax Herbal 750 GM
772	Wax Herbal Eco 200 GM
773	Wax Herbal Std 125 GM
774	Wax Lemon Bucket 1.5 KG
775	Wax Lemon Eco 200 Gm
776	Wax Lemon Std 125 GM
777	Hot Wax Traditional 1 KG
778	Hina Hair Mask 75 GM
779	Mani & Padicure Shampoo 5 Ltr
780	Rose Water 5 Ltr
781	Scrub Cream 500 GM
782	Hina Hair Mask 500 Gm
783	Mani & Padicure Veg Mask 500 GM
796	Milk Shampoo 500 Ml
799	DIAMOND GLOW 5K CREAM BLEACH SACHT
800	Honey & Almond Massege Cream 500 Gm
802	COLOROX HAIR COLOR N/B 1N
803	COLOROX HAIR COLOR D/BROWN 3N
804	COLOROX HAIR COLOR M/BROWN 4N
805	COLOROX HAIR COLOR LIGHT BROWN 54
806	COLOROX HAIR COLOR DARK BLONDE 64
808	COLOROX HAIR COLOR M/ASH BROWN 4C
809	COLOROX HAIR COLOR MOHODANY L/BRN 5M
810	COLOROX HAIR COLOR DARK COPER BLND 6R
811	COLOROX HAIR COLOR VIOLET L/B 5V
812	COLOROX HAIR COLOR LGT GOLDN BLND 8D
813	COLOROX HAIR COLOR SIVER SUPER LGT SSA
814	DIAMOND FACE GLOWING TRAIL KIT 6 PCS
836	DIAMOND GLOW 5K CREAM BLEACH 500 GM
862	Premium Baby lotion 120 ml
863	Premium Baby shampo 120 ml
870	ONION HAIR OIL 120ML ST
871	ONION HAIR SHAMPO 240ML ST
872	ONION HAIR CONDITIONER 240ML ST
873	ST KERATIN SHAMPO 500ML
874	ONION HAIR CARE KIT 3PIC ST
876	ONION HAIR OIL 240ML ST
877	ST KERATIN SMOTH CONDITIONER 500ML
918	Baby Gift Box Small 4 Items Primium luxery
919	Baby Oil Premium pack 120ml
921	Baby Soap Premium
922	Baby Powder Premium 120gm
923	Baby Lotion Premium 120 Ml
936	Baby Gift Box Mini 4 pic
1052	Peach Bleach Cream Pillow pack 36 Sachet
1070	DIAMOND GLOW 5K CREAM BLEACH SACHT
